Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,105428,105476,106160,107203,107912,108692,108768,108919,108549,108966,109164,109015
2011,106632,107070,107887,109081,109856,110775,110832,111003,110770,111181,111435,111412
2012,109285,109779,110605,111487,112348,113137,113154,113325,112985,113375,113664,113700
2013,111330,111885,112628,113616,114555,115423,115510,115718,115349,115809,116211,116096
2014,113792,114102,114944,116034,116990,117967,118137,118311,117983,118541,118893,118999
2015,116668,117065,117732,118855,119840,120732,120947,120948,120505,121181,121491,121585
2016,119093,119487,120245,121313,122001,123099,123232,123281,122910,123373,123685,123613
2017,121203,121780,122368,123364,124259,125304,125387,125470,124851,125443,125886,125768
2018,123188,123951,124586,125525,126511,127565,127589,127725,127076,127692,128061,127977
2019,125501,125891,126474,127470,128229,129237,129333,129397,128837,129441,129899,129789
2020,127407,127872,126825,108012,111761,117211,118713,119601,119987,121433,121959,121618
2021,119315,120136,121165,122170,123214,124753,125671,125907,125761,127202,128059,128385
2022,125993,127338,128087,129036,129892,131198,131722,131768,131376,132280,132701,132565
2023,130314,131014,131367,132189,133071,134083,134158,134063,133559,134181,134458,134432
2024,131909,132520,132995,133804,134665,135537,135580,135474,135037,135508,135893,136080
2025,133595,134104,134491,135299,136097,136808,136835,136703(P),136123(P), , , 
